firm,year,y,x
1,1,0.839,1.076
1,2,1.632,0.909
1,3,2.315,1.532
1,4,3.030,0.819
1,5,3.696,1.478
1,6,4.427,0.734
1,7,5.186,1.429
1,8,5.882,0.792
1,9,6.513,1.355
1,10,7.164,0.673
2,1,0.451,1.158
2,2,1.178,0.886
2,3,1.839,1.506
2,4,2.504,0.783
2,5,3.194,1.456
2,6,3.797,0.710
2,7,4.460,1.407
2,8,5.073,0.768
2,9,5.681,1.332
2,10,6.296,0.655
3,1,1.023,1.023
3,2,1.831,0.932
3,3,2.552,1.505
3,4,3.235,0.796
3,5,3.888,1.468
3,6,4.500,0.723
3,7,5.135,1.419
3,8,5.750,0.785
3,9,6.322,1.347
3,10,6.885,0.672
4,1,1.291,0.965
4,2,2.144,0.899
4,3,2.888,1.496
4,4,3.592,0.818
4,5,4.262,1.439
4,6,4.880,0.728
4,7,5.489,1.409
4,8,6.093,0.799
4,9,6.685,1.345
4,10,7.246,0.661
5,1,0.563,1.094
5,2,1.300,0.857
5,3,1.972,1.496
5,4,2.628,0.813
5,5,3.297,1.438
5,6,3.927,0.715
5,7,4.579,1.412
5,8,5.211,0.796
5,9,5.821,1.322
5,10,6.430,0.641
6,1,0.755,0.984
6,2,1.509,0.927
6,3,2.224,1.521
6,4,2.913,0.794
6,5,3.584,1.463
6,6,4.191,0.742
6,7,4.811,1.416
6,8,5.399,0.761
6,9,5.992,1.332
6,10,6.558,0.680
7,1,1.156,1.034
7,2,1.942,0.922
7,3,2.657,1.514
7,4,3.348,0.787
7,5,4.017,1.470
7,6,4.621,0.746
7,7,5.230,1.423
7,8,5.830,0.774
7,9,6.408,1.352
7,10,6.979,0.687
8,1,0.982,1.009
8,2,1.770,0.875
8,3,2.495,1.487
8,4,3.190,0.828
8,5,3.870,1.437
8,6,4.470,0.735
8,7,5.088,1.394
8,8,5.696,0.787
8,9,6.269,1.333
8,10,6.830,0.676
9,1,0.681,1.154
9,2,1.454,0.887
9,3,2.144,1.495
9,4,2.824,0.823
9,5,3.515,1.448
9,6,4.122,0.752
9,7,4.719,1.393
9,8,5.330,0.779
9,9,5.912,1.348
9,10,6.472,0.692
10,1,0.529,1.079
10,2,1.270,0.885
10,3,1.940,1.500
10,4,2.571,0.804
10,5,3.247,1.452
10,6,3.871,0.716
10,7,4.524,1.388
10,8,5.166,0.768
10,9,5.764,1.330
10,10,6.341,0.669
11,1,0.894,1.051
11,2,1.676,0.916
11,3,2.385,1.511
11,4,3.056,0.804
11,5,3.726,1.473
11,6,4.330,0.737
11,7,4.957,1.412
11,8,5.571,0.781
11,9,6.148,1.350
11,10,6.713,0.674
12,1,1.042,1.131
12,2,1.902,0.879
12,3,2.644,1.487
12,4,3.343,0.810
12,5,4.019,1.453
12,6,4.632,0.725
12,7,5.253,1.405
12,8,5.854,0.793
12,9,6.438,1.359
12,10,7.034,0.691
13,1,0.586,0.992
13,2,1.314,0.864
13,3,1.981,1.476
13,4,2.630,0.826
13,5,3.302,1.444
13,6,3.912,0.719
13,7,4.544,1.391
13,8,5.156,0.755
13,9,5.748,1.337
13,10,6.308,0.668
14,1,1.229,1.047
14,2,2.065,0.916
14,3,2.825,1.506
14,4,3.516,0.807
14,5,4.176,1.470
14,6,4.803,0.746
14,7,5.432,1.428
14,8,6.041,0.785
14,9,6.611,1.361
14,10,7.178,0.703
15,1,0.698,1.112
15,2,1.441,0.876
15,3,2.142,1.500
15,4,2.836,0.794
15,5,3.526,1.452
15,6,4.139,0.738
15,7,4.762,1.397
15,8,5.383,0.770
15,9,5.959,1.352
15,10,6.512,0.695
16,1,0.833,1.016
16,2,1.600,0.898
16,3,2.311,1.518
16,4,2.983,0.822
16,5,3.676,1.456
16,6,4.276,0.715
16,7,4.912,1.409
16,8,5.523,0.778
16,9,6.117,1.328
16,10,6.688,0.668
17,1,0.998,1.108
17,2,1.790,0.941
17,3,2.530,1.523
17,4,3.219,0.832
17,5,3.883,1.487
17,6,4.492,0.751
17,7,5.130,1.432
17,8,5.712,0.804
17,9,6.303,1.375
17,10,6.904,0.698
18,1,0.677,0.999
18,2,1.416,0.885
18,3,2.098,1.487
18,4,2.778,0.795
18,5,3.452,1.466
18,6,4.078,0.727
18,7,4.700,1.417
18,8,5.295,0.781
18,9,5.877,1.353
18,10,6.438,0.685
19,1,1.175,1.077
19,2,1.998,0.904
19,3,2.762,1.506
19,4,3.461,0.824
19,5,4.121,1.463
19,6,4.754,0.739
19,7,5.372,1.403
19,8,5.969,0.776
19,9,6.546,1.341
19,10,7.111,0.672
20,1,0.940,1.146
20,2,1.703,0.928
20,3,2.403,1.529
20,4,3.049,0.809
20,5,3.722,1.477
20,6,4.329,0.761
20,7,4.948,1.421
20,8,5.540,0.785
20,9,6.123,1.356
20,10,6.691,0.706
21,1,0.716,1.089
21,2,1.461,0.868
21,3,2.154,1.477
21,4,2.839,0.830
21,5,3.528,1.454
21,6,4.128,0.714
21,7,4.759,1.394
21,8,5.362,0.757
21,9,5.948,1.330
21,10,6.515,0.688
22,1,1.124,1.039
22,2,1.929,0.911
22,3,2.680,1.501
22,4,3.417,0.812
22,5,4.115,1.445
22,6,4.720,0.731
22,7,5.319,1.396
22,8,5.920,0.769
22,9,6.488,1.340
22,10,7.045,0.698
23,1,0.640,1.072
23,2,1.358,0.880
23,3,2.032,1.504
23,4,2.682,0.808
23,5,3.349,1.460
23,6,3.972,0.735
23,7,4.589,1.399
23,8,5.202,0.781
23,9,5.804,1.345
23,10,6.374,0.670
24,1,0.870,1.114
24,2,1.664,0.918
24,3,2.386,1.498
24,4,3.074,0.821
24,5,3.748,1.467
24,6,4.353,0.744
24,7,4.995,1.418
24,8,5.579,0.795
24,9,6.154,1.365
24,10,6.763,0.704
25,1,1.054,0.958
25,2,1.837,0.875
25,3,2.566,1.463
25,4,3.268,0.787
25,5,3.951,1.454
25,6,4.547,0.717
25,7,5.170,1.390
25,8,5.763,0.752
25,9,6.368,1.321
25,10,6.945,0.670
26,1,0.474,1.080
26,2,1.224,0.902
26,3,1.891,1.495
26,4,2.555,0.815
26,5,3.218,1.438
26,6,3.833,0.720
26,7,4.465,1.402
26,8,5.088,0.782
26,9,5.684,1.340
26,10,6.251,0.669
27,1,1.206,1.062
27,2,2.069,0.924
27,3,2.834,1.494
27,4,3.557,0.817
27,5,4.248,1.457
27,6,4.888,0.743
27,7,5.531,1.410
27,8,6.145,0.783
27,9,6.758,1.355
27,10,7.353,0.685
28,1,0.800,1.124
28,2,1.569,0.919
28,3,2.271,1.519
28,4,2.953,0.833
28,5,3.640,1.487
28,6,4.233,0.755
28,7,4.862,1.435
28,8,5.438,0.794
28,9,6.026,1.383
28,10,6.618,0.711
29,1,1.338,1.085
29,2,2.208,0.913
29,3,2.991,1.524
29,4,3.718,0.826
29,5,4.455,1.489
29,6,5.058,0.753
29,7,5.697,1.440
29,8,6.309,0.797
29,9,6.920,1.393
29,10,7.525,0.719
30,1,0.931,0.978
30,2,1.693,0.895
30,3,2.397,1.486
30,4,3.097,0.788
30,5,3.787,1.448
30,6,4.386,0.732
30,7,4.994,1.405
30,8,5.583,0.784
30,9,6.161,1.365
30,10,6.735,0.698
