firm,year,invest,mvalue,capital
1,1935,317.6,3078.5,2.8
1,1936,391.8,4661.7,52.6
1,1937,410.6,5387.1,156.9
1,1938,257.7,2792.2,209.2
1,1939,330.8,4313.2,203.4
1,1940,461.2,4643.9,207.2
1,1941,512.0,4551.2,255.2
1,1942,448.0,3244.1,303.7
1,1943,499.6,4053.7,264.1
1,1944,547.5,4379.3,201.6
1,1945,561.2,4840.9,265.0
1,1946,688.1,4900.9,402.2
1,1947,568.9,3526.5,761.5
1,1948,529.2,3254.7,922.4
1,1949,555.1,3700.2,1020.1
1,1950,642.9,3755.6,1099.0
1,1951,755.9,4833.0,1207.7
1,1952,891.2,4924.9,1430.5
1,1953,1304.4,6241.7,1777.3
1,1954,1486.7,5593.6,2226.3
2,1935,209.9,1362.4,53.8
2,1936,355.3,1807.1,50.5
2,1937,469.9,2671.3,118.1
2,1938,262.3,1801.9,260.2
2,1939,230.4,1957.3,312.7
2,1940,361.6,2202.9,254.2
2,1941,472.8,2380.5,261.4
2,1942,445.6,2168.6,298.7
2,1943,461.2,1960.8,301.8
2,1944,434.0,1807.8,270.6
2,1945,485.3,1949.0,299.5
2,1946,556.0,2210.4,372.5
2,1947,532.4,1800.0,549.8
2,1948,534.9,1587.4,643.0
2,1949,469.3,1749.0,681.9
2,1950,538.9,1869.7,665.5
2,1951,673.0,2369.6,742.3
2,1952,700.3,2383.5,859.4
2,1953,802.0,2659.2,1104.6
2,1954,796.7,2354.4,1261.3
3,1935,12.9,269.6,10.5
3,1936,25.9,541.4,17.5
3,1937,35.1,696.8,26.2
3,1938,22.8,476.0,36.1
3,1939,18.8,463.7,40.4
3,1940,28.6,531.0,43.8
3,1941,48.5,630.5,49.8
3,1942,46.2,522.0,60.4
3,1943,51.6,539.6,63.2
3,1944,53.3,549.0,60.1
3,1945,55.5,606.7,64.7
3,1946,69.5,686.9,74.1
3,1947,68.2,520.5,101.6
3,1948,62.3,464.7,120.2
3,1949,56.2,476.5,130.3
3,1950,62.7,524.5,132.3
3,1951,73.5,647.2,147.8
3,1952,80.2,686.9,166.2
3,1953,88.8,787.9,197.3
3,1954,92.1,728.0,226.1
4,1935,40.3,521.1,11.2
4,1936,72.2,766.1,22.7
4,1937,66.5,841.5,42.5
4,1938,45.2,646.7,66.2
4,1939,47.0,690.8,71.2
4,1940,59.6,771.4,73.5
4,1941,79.8,871.0,81.7
4,1942,73.4,727.6,93.4
4,1943,75.1,701.5,93.1
4,1944,78.7,700.9,82.4
4,1945,84.3,766.5,93.0
4,1946,107.4,893.7,111.7
4,1947,97.3,700.2,170.5
4,1948,88.5,608.5,215.5
4,1949,83.0,657.0,246.4
4,1950,97.2,701.0,255.3
4,1951,116.7,847.0,287.2
4,1952,126.9,877.1,334.1
4,1953,146.4,1020.4,404.6
4,1954,147.3,915.5,464.0
5,1935,44.9,447.4,10.6
5,1936,66.2,674.0,19.3
5,1937,59.3,730.4,35.2
5,1938,41.1,540.0,49.6
5,1939,41.9,561.2,50.7
5,1940,56.4,636.2,50.4
5,1941,71.4,725.0,55.5
5,1942,64.0,585.4,65.8
5,1943,60.7,532.5,61.6
5,1944,55.8,487.3,51.1
5,1945,58.4,526.5,55.3
5,1946,72.2,622.3,67.6
5,1947,65.8,468.3,103.4
5,1948,61.5,406.4,130.5
5,1949,57.1,437.5,138.8
5,1950,67.3,475.7,137.6
5,1951,80.7,598.2,156.7
5,1952,87.4,630.0,184.1
5,1953,96.1,741.4,220.2
5,1954,99.3,656.2,257.7
6,1935,11.3,191.5,5.5
6,1936,19.2,301.9,9.3
6,1937,21.5,385.6,17.9
6,1938,13.7,266.2,28.1
6,1939,15.3,292.6,29.6
6,1940,21.5,352.4,29.5
6,1941,28.6,416.1,32.8
6,1942,26.0,348.2,41.1
6,1943,26.8,334.5,41.8
6,1944,26.5,320.1,36.6
6,1945,28.1,350.7,40.0
6,1946,35.0,417.5,48.9
6,1947,33.4,306.4,76.3
6,1948,29.5,274.1,94.1
6,1949,27.2,291.8,102.0
6,1950,32.7,324.3,102.1
6,1951,39.6,412.4,116.2
6,1952,43.6,441.2,138.2
6,1953,50.0,530.6,168.4
6,1954,50.0,458.5,195.4
7,1935,25.8,320.3,8.0
7,1936,38.2,472.0,13.7
7,1937,41.3,565.7,26.2
7,1938,28.9,407.4,40.0
7,1939,30.2,448.5,44.7
7,1940,40.1,521.7,45.6
7,1941,50.4,597.7,51.5
7,1942,46.6,488.2,62.4
7,1943,48.7,470.4,61.5
7,1944,48.2,443.0,52.9
7,1945,50.6,483.4,60.3
7,1946,62.1,563.1,75.0
7,1947,57.7,421.0,114.4
7,1948,52.2,375.4,142.3
7,1949,49.8,406.4,154.3
7,1950,57.3,443.0,154.6
7,1951,67.6,541.2,174.2
7,1952,73.7,566.8,203.4
7,1953,82.0,676.9,247.4
7,1954,83.6,596.9,284.8
8,1935,35.2,437.0,9.7
8,1936,55.0,644.0,17.7
8,1937,55.9,763.3,31.6
8,1938,36.7,545.5,49.7
8,1939,38.0,591.5,54.2
8,1940,51.5,686.0,54.7
8,1941,66.2,793.5,61.6
8,1942,60.1,657.6,76.4
8,1943,57.5,624.0,73.9
8,1944,53.9,584.2,63.1
8,1945,56.9,638.8,72.3
8,1946,70.4,735.3,91.3
8,1947,64.4,556.5,140.0
8,1948,58.6,494.7,173.8
8,1949,54.8,536.6,188.1
8,1950,63.6,581.2,187.9
8,1951,76.0,707.0,212.2
8,1952,82.3,738.8,250.0
8,1953,93.1,867.5,304.3
8,1954,95.8,761.6,348.3
9,1935,20.0,275.9,6.2
9,1936,31.5,404.6,10.3
9,1937,34.5,495.2,19.6
9,1938,23.6,353.0,29.9
9,1939,24.6,384.8,32.2
9,1940,33.1,454.5,31.6
9,1941,42.0,529.5,37.2
9,1942,38.2,439.8,47.8
9,1943,39.0,424.6,46.0
9,1944,38.0,407.1,37.8
9,1945,39.8,446.8,44.1
9,1946,48.8,522.5,55.3
9,1947,44.1,388.2,85.7
9,1948,40.5,355.5,104.5
