y,x,q
2.02,0.0,-0.9
2.15,0.2,-0.8
2.28,0.4,-0.7
2.41,0.6,-0.6
2.55,0.8,-0.5
2.70,1.0,-0.4
2.86,1.2,-0.3
3.03,1.4,-0.2
3.21,1.6,-0.1
3.40,1.8,0.0
3.60,2.0,0.1
3.81,2.2,0.2
4.03,2.4,0.3
4.26,2.6,0.4
4.50,2.8,0.5
4.75,3.0,0.6
5.01,3.2,0.7
5.28,3.4,0.8
5.56,3.6,0.9
5.85,3.8,1.0
6.15,4.0,-0.95
6.46,4.2,-0.85
6.78,4.4,-0.75
7.11,4.6,-0.65
7.45,4.8,-0.55
7.80,5.0,-0.45
8.16,5.2,-0.35
8.53,5.4,-0.25
8.91,5.6,-0.15
9.30,5.8,-0.05
9.70,6.0,0.05
10.11,6.2,0.15
10.53,6.4,0.25
10.96,6.6,0.35
11.40,6.8,0.45
11.85,7.0,0.55
12.31,7.2,0.65
12.78,7.4,0.75
13.26,7.6,0.85
13.75,7.8,0.95
14.25,8.0,0.0
14.76,8.2,0.1
15.28,8.4,0.2
15.81,8.6,0.3
16.35,8.8,0.4
16.90,9.0,0.5
17.46,9.2,0.6
18.03,9.4,0.7
18.61,9.6,0.8
19.20,9.8,0.9
19.80,10.0,1.0
20.41,10.2,-0.2
21.03,10.4,-0.1
21.66,10.6,0.0
22.30,10.8,0.1
22.95,11.0,0.2
23.61,11.2,0.3
24.28,11.4,0.4
24.96,11.6,0.5
25.65,11.8,0.6
26.35,12.0,0.7
27.06,12.2,0.8
27.78,12.4,0.9
28.51,12.6,1.0
29.25,12.8,-0.5
30.00,13.0,-0.4
30.76,13.2,-0.3
31.53,13.4,-0.2
32.31,13.6,-0.1
33.10,13.8,0.0
33.90,14.0,0.1
34.71,14.2,0.2
35.53,14.4,0.3
36.36,14.6,0.4
37.20,14.8,0.5
38.05,15.0,0.6
38.91,15.2,0.7
39.78,15.4,0.8
40.66,15.6,0.9
41.55,15.8,1.0
42.45,16.0,-0.3
