country,isocode,year,rgdpo,pop,emp,hc,cn,ctfp,output_per_worker,capital_per_worker,log_output_per_worker,log_capital_per_worker
United States,USA,1990,9978170.0,252.120309,123.0460205078125,3.435096502304077,38181020.0,1.0,81092.99235212943,310298.6983441353,11.30335182887484,12.6452906555973
United States,USA,1991,9939456.0,254.53937,121.56706237792969,3.4523024559020996,38943404.0,1.0,81761.0938816639,320345.0279890132,11.311556784526895,12.677153906388
United States,USA,1992,10301173.0,256.990613,121.79700469970703,3.469594955444336,39749448.0,1.0,84576.57087214706,326358.17356923566,11.345412567193796,12.695750749158758
United States,USA,1993,10602463.0,259.532129,123.12069702148438,3.486973524093628,40619168.0,1.0,86114.38414899395,329913.4019109071,11.36343173974911,12.70658548055312
United States,USA,1994,11054640.0,262.241196,125.68997955322266,3.50443959236145,41576692.0,1.0,87951.64132649875,330787.6423227088,11.384542412032488,12.709231884489233
United States,USA,1995,11361680.0,265.163745,127.46273803710938,3.5219931602478027,42588924.0,1.0,89137.26611374198,334128.4257333363,11.397932776451384,12.719280706238152
United States,USA,1996,11815750.0,268.335003,129.357666015625,3.5332388877868652,43715280.0,1.0,91341.7067881604,337941.1622556615,11.42236277266207,12.730627083145459
United States,USA,1997,12360252.0,271.713635,132.36257934570312,3.544520616531372,44934620.0,1.0,93381.77044523762,339481.2961648341,11.444451427921527,12.735174132165266
United States,USA,1998,12924324.0,275.175301,134.5009002685547,3.5558385848999023,46303492.0,1.0,96090.98507292007,344261.57674444513,11.473050782784174,12.74915704491274
United States,USA,1999,13526821.0,278.54814999999996,136.7564697265625,3.567192554473877,47787512.0,1.0,98911.74455618941,349435.1096920582,11.50198326239241,12.764073157300771
United States,USA,2000,14095967.0,281.710909,138.6361083984375,3.578582525253296,49329068.0,1.0,101676.01473267312,355816.88327711285,11.529546710884691,12.78217150468199
United States,USA,2001,14205419.0,284.60799299999996,138.6468048095703,3.5883371829986572,50696672.0,1.0,102457.60094876308,365653.3741951808,11.537204342703776,12.809441098593567
United States,USA,2002,14396938.0,287.279318,138.15208435058594,3.598118543624878,51888828.0,1.0,104210.79108343499,375592.07480592694,11.55417096420068,12.836258926002918
United States,USA,2003,14799683.0,289.815562,138.69085693359375,3.6079261302948,53147924.0,1.0,106709.86773905509,383211.4472077106,11.577868914167007,12.856342197304143
United States,USA,2004,15372598.0,292.354658,140.2701873779297,3.6177608966827393,54536708.0,1.0,109592.7672683693,388797.57002863236,11.604526659241557,12.870814101622534
United States,USA,2005,15920553.0,294.993511,142.49330139160156,3.627622365951538,56048904.0,1.0,111728.43105267786,393344.13233900606,11.623826483132557,12.882440162496021
United States,USA,2006,16386528.0,297.758969,145.09414672851562,3.642328977584839,57539900.0,1.0,112937.20918088232,396569.40887948015,11.634587272286508,12.890606358657395
United States,USA,2007,16702365.0,300.608429,146.39578247070312,3.657094717025757,58882244.0,1.0,114090.47937116968,402212.7072669158,11.644747091274722,12.904736350219697
United States,USA,2008,16671577.0,303.48601199999996,146.22850036621094,3.6719207763671875,59952004.0,1.0,114010.44911387401,409988.503266174,11.644045382069844,12.92388439747313
United States,USA,2009,16195003.0,306.307567,141.22080993652344,3.6868066787719727,60486828.0,1.0,114678.58743537444,428313.84430657135,11.649888602476159,12.967611486934832
United States,USA,2010,16651722.0,309.01147499999996,140.71380615234375,3.7017533779144287,61035260.0,1.0,118337.51396058478,433754.5950105294,11.681296108409759,12.98023420387131
United States,USA,2011,16943864.0,311.584047,142.14735412597656,3.7070109844207764,61657100.0,1.0,119199.29220056873,433754.81998319196,11.688552095681064,12.980234722534645
United States,USA,2012,17382956.0,314.043885,144.58848571777344,3.712275981903076,62424364.0,1.0,120223.65345142565,431738.14076625695,11.697109065845467,12.975574527805984
