y,x1,x2,lon,lat
1.05,0.52,0.31,0.0,0.0
0.88,0.21,0.45,1.0,0.0
1.12,0.41,0.22,0.0,1.0
0.91,0.29,0.38,1.0,1.0
1.02,0.36,0.41,0.5,0.5
0.95,0.44,0.33,0.0,0.5
0.87,0.18,0.47,1.0,0.5
1.08,0.49,0.28,0.5,0.0
0.93,0.25,0.43,0.5,1.0
0.99,0.38,0.35,0.25,0.25
1.11,0.55,0.3,0.75,0.25
0.85,0.15,0.49,0.25,0.75
1.06,0.47,0.32,0.75,0.75
0.89,0.22,0.46,0.0,0.25
1.03,0.4,0.39,0.0,0.75
0.96,0.33,0.37,1.0,0.25
1.1,0.51,0.29,1.0,0.75
0.9,0.27,0.42,0.25,0.5
1.07,0.45,0.34,0.75,0.5
0.97,0.35,0.36,0.25,0.0
1.04,0.42,0.38,0.75,0.0
0.86,0.19,0.48,0.25,1.0
1.09,0.48,0.31,0.75,1.0
0.94,0.31,0.44,0.0,0.875
1.01,0.39,0.35,0.5,0.875
0.92,0.26,0.43,1.0,0.375
1.05,0.43,0.33,0.0,0.375
0.88,0.18,0.45,1.0,0.875
1.12,0.52,0.27,0.5,0.125
0.91,0.28,0.4,0.75,0.375
