firm,year,y,x1,x2,z1,z2
1,1,1.18,0.92,0.4,1.1,0.2
1,2,1.54,1.08,0.6,1.3,0.1
1,3,1.83,1.21,0.8,1.4,0.3
1,4,2.15,1.38,1.0,1.6,0.2
1,5,2.44,1.52,1.2,1.8,0.4
2,1,0.86,0.71,0.3,0.8,0.5
2,2,1.11,0.84,0.5,1.0,0.4
2,3,1.39,0.98,0.7,1.2,0.6
2,4,1.67,1.11,0.9,1.3,0.5
2,5,1.96,1.26,1.1,1.5,0.7
3,1,1.42,1.02,0.2,1.4,-0.1
3,2,1.76,1.19,0.4,1.6,-0.2
3,3,2.07,1.33,0.6,1.7,0.0
3,4,2.39,1.49,0.8,1.9,-0.1
3,5,2.71,1.64,1.0,2.1,0.1
4,1,0.62,0.53,0.5,0.6,0.8
4,2,0.88,0.67,0.7,0.8,0.7
4,3,1.15,0.81,0.9,0.9,0.9
4,4,1.43,0.95,1.1,1.1,0.8
4,5,1.71,1.09,1.3,1.2,1.0
